PlacementStatusEmployerIfYes,PlacementCategory
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
N9,No
No,No
No,No
No,No
No,No
-,No
No,No
No,No
No,No
No,No
Rutuja ,Yes
No ,No
No,No
No,No
Manik,Yes
No ,No
No,No
No,No
No,No
No,No
Na,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Noo,Yes
No,No
No,No
No,No
No,No
No,No
 No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No.,No
No,No
TCL ,Yes
No,No
No,No
No,No
No,No
No,No
no,No
No,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
TCS,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Muskaan shaikh,Yes
Disha,Yes
No,No
No,No
No,No
Na,No
Developer ,Yes
No,No
NO,No
No,No
Amul Macho,Yes
no,No
-,No
No,No
No,No
No,No
No,No
No,No
Bosch pvt.ltd ,Yes
No,No
No,No
No ,No
No,No
No,No
No,No
NO,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
TCS,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No.,No
No,No
No,No
No,No
No,No
No,No
No,No
,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Pune,Yes
No,No
,No
No,No
No,No
No,No
no,No
No,No
Ho,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
TCS Employer,Yes
No,No
No,No
No,No
no,No
No,No
No,No
No,No
No,No
No,No
N9,No
No,No
No,No
,No
No,No
Not really right now i am working as a Backend Intern,Yes
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
IIT Bombay ,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
Datafortune,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes ,Yes
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
NO,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
no,No
NO,No
no,No
No,No
No,No
Panna ,Yes
No,No
No,No
No,No
TESLA,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Google ,Yes
No,No
no,No
no,No
No ,No
No,No
No,No
No,No
No,No
no,No
