OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
317,Football video games music,football video games music,"Sports (football), Music & Dance (music), Gaming (game)","Gaming (game), Music & Dance (music), Sports (football)"
318,Making project to solve real world problems ,making project to solve real world problems,Business & Finance (project),Business & Finance (project)
319,Exploringteam work ,exploringteam work,Travel & Adventure (exploring),Travel & Adventure (exploring)
320,Singing cricket ,singing cricket,"Sports (cricket), Music & Dance (singing)","Music & Dance (singing), Sports (cricket)"
321,Listening song,listening song,"Music & Dance (song), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (song)"
322,Watching Movies Swimming Playing Games,watching movies swimming playing games,"Sports (swim), Gaming (game), Entertainment (movie)","Entertainment (movie), Gaming (game), Sports (swim)"
323,sports: basketballcricket,sports  basketballcricket,Sports (cricket),Sports (cricket)
324,Cooking ,cooking,Cooking & Baking (cook),Cooking & Baking (cook)
325,Watching movie,watching movie,Entertainment (movie),Entertainment (movie)
326,Love painting and travelling ,love painting and travelling,"Arts & Crafts (painting), Travel & Adventure (travel)","Arts & Crafts (painting), Travel & Adventure (travel)"
327,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
328,Trekking and Travelling  also Football ,trekking and travelling  also football,"Sports (football), Travel & Adventure (travel)","Sports (football), Travel & Adventure (travel)"
329,Cooking and traveling ,cooking and traveling,"Travel & Adventure (travel), Cooking & Baking (cook)","Cooking & Baking (cook), Travel & Adventure (travel)"
330,Sketching travelling ,sketching travelling,"Arts & Crafts (sketching), Travel & Adventure (travel)","Arts & Crafts (sketching), Travel & Adventure (travel)"
331,Playing football and doing workout ,playing football and doing workout,"Sports (football), Technology & Coding (doing), Fitness & Gym (workout)","Fitness & Gym (workout), Sports (football), Technology & Coding (doing)"
332,Sudoku singing dancing.,sudoku singing dancing,Music & Dance (singing),Music & Dance (singing)
333,Painting Swimming Sketching ,painting swimming sketching,"Sports (swim), Arts & Crafts (painting)","Arts & Crafts (painting), Sports (swim)"
334,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
335,I like to travel .and listening the songs,i like to travel  and listening the songs,"Music & Dance (song), Travel & Adventure (travel), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (song), Travel & Adventure (travel)"
336,Outdoor activities and reading books,outdoor activities and reading books,Reading & Writing (read),Reading & Writing (read)
337,Play cricket and kabbadi ,play cricket and kabbadi,Sports (cricket),Sports (cricket)
338,To learn new things and cricket for physical fitness.,to learn new things and cricket for physical fitness,"Sports (cricket), Reading & Writing (learn), Fitness & Gym (fitness), Design (new)","Design (new), Fitness & Gym (fitness), Reading & Writing (learn), Sports (cricket)"
339,Drawing mehndi  reading Book playing tennis and guitar ,drawing mehndi  reading book playing tennis and guitar,"Sports (tennis), Arts & Crafts (drawing), Music & Dance (guitar), Reading & Writing (read)","Arts & Crafts (drawing), Music & Dance (guitar), Reading & Writing (read), Sports (tennis)"
340,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
341,Cooking travelling ,cooking travelling,"Travel & Adventure (travel), Cooking & Baking (cook)","Cooking & Baking (cook), Travel & Adventure (travel)"
342,Reading Dancing ,reading dancing,"Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read)"
343,Playing football ,playing football,Sports (football),Sports (football)
344,Sleeping,sleeping,Mind & Wellness (sleep),Mind & Wellness (sleep)
345,I'm into sports. Love playing badminton. Been a national skater and a state swimmer,i m into sports  love playing badminton  been a national skater and a state swimmer,Sports (badminton),Sports (badminton)
346,Artcookingphotographytravelling ,artcookingphotographytravelling,"Arts & Crafts (art), Travel & Adventure (travel), Cooking & Baking (cook), Design (photography)","Arts & Crafts (art), Cooking & Baking (cook), Design (photography), Travel & Adventure (travel)"
347,Adventure ,adventure,Travel & Adventure (adventure),Travel & Adventure (adventure)
348,Watching movies ,watching movies,Entertainment (movie),Entertainment (movie)
349,Read books ,read books,Reading & Writing (read),Reading & Writing (read)
350,Reading books,reading books,Reading & Writing (read),Reading & Writing (read)
351,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
352,I like to participate in activities also making new connections,i like to participate in activities also making new connections,"Arts & Crafts (art), Design (new)","Arts & Crafts (art), Design (new)"
353,cookingtreking,cookingtreking,"Travel & Adventure (trek), Cooking & Baking (cook)","Cooking & Baking (cook), Travel & Adventure (trek)"
354,Hiking ,hiking,Travel & Adventure (hiking),Travel & Adventure (hiking)
355,Sketching ,sketching,Arts & Crafts (sketching),Arts & Crafts (sketching)
356,Na,na,,None (explicit none match)
357,Drawing reading ,drawing reading,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
358,Film making ,film making,Entertainment (film making),Entertainment (film making)
359,Football & Gaming ,football   gaming,"Sports (football), Gaming (gaming)","Gaming (gaming), Sports (football)"
360,Reading books,reading books,Reading & Writing (read),Reading & Writing (read)
361,Cricket,cricket,Sports (cricket),Sports (cricket)
362,None,none,,None (explicit none match)
363,Learning new musical instruments ,learning new musical instruments,"Music & Dance (music), Reading & Writing (learn), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Music & Dance (music), Reading & Writing (learn)"
364,Dancing Cricket Travel,dancing cricket travel,"Sports (cricket), Music & Dance (dancing), Travel & Adventure (travel)","Music & Dance (dancing), Sports (cricket), Travel & Adventure (travel)"
365,Dancing playing basketball ,dancing playing basketball,"Sports (basketball), Music & Dance (dancing)","Music & Dance (dancing), Sports (basketball)"
366,Learning new skills interested in software & coding languages dancing sports ,learning new skills interested in software   coding languages dancing sports,"Sports (sport), Music & Dance (dancing), Reading & Writing (learn), Technology & Coding (coding), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Music & Dance (dancing), Reading & Writing (learn), Sports (sport), Technology & Coding (coding)"
367,Exploring new places ,exploring new places,"Travel & Adventure (exploring), Design (new)","Design (new), Travel & Adventure (exploring)"
368,Listening music drawing,listening music drawing,"Arts & Crafts (drawing), Music & Dance (music), Mind & Wellness (listening)","Arts & Crafts (drawing), Mind & Wellness (listening), Music & Dance (music)"
369,Trekking ,trekking,Travel & Adventure (trek),Travel & Adventure (trek)
370,Playing and coding ,playing and coding,Technology & Coding (coding),Technology & Coding (coding)
371,Playing cricket,playing cricket,Sports (cricket),Sports (cricket)
372,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
373,Cricket ,cricket,Sports (cricket),Sports (cricket)
374,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
375,Sketching dancing ,sketching dancing,"Arts & Crafts (sketching), Music & Dance (dancing)","Arts & Crafts (sketching), Music & Dance (dancing)"
376,Playing chess and stock market research ,playing chess and stock market research,"Sports (chess), Business & Finance (stock market), Education & Study (research)","Business & Finance (stock market), Education & Study (research), Sports (chess)"
377,Listening Music,listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
378,Playing,playing,Sports (playing fallback),Sports (playing fallback)
379,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
380,dance listening songs short walksmaking creative things learning about the things I don't know etc. ,dance listening songs short walksmaking creative things learning about the things i don t know etc,"Music & Dance (dance), Reading & Writing (learn), Education & Study (learning), Mind & Wellness (listening)","Education & Study (learning), Mind & Wellness (listening), Music & Dance (dance), Reading & Writing (learn)"
381,Drawing and games,drawing and games,"Arts & Crafts (drawing), Gaming (game)","Arts & Crafts (drawing), Gaming (game)"
382,Drawingsread newspapers playing mehendi ,drawingsread newspapers playing mehendi,"Arts & Crafts (drawing), Reading & Writing (read), Design (new)","Arts & Crafts (drawing), Design (new), Reading & Writing (read)"
383,Reading Books,reading books,Reading & Writing (read),Reading & Writing (read)
384,Playing games,playing games,Gaming (game),Gaming (game)
385,Classical dance,classical dance,Music & Dance (dance),Music & Dance (dance)
386,ESports,esports,"Sports (sport), Gaming (esports)","Gaming (esports), Sports (sport)"
387,Art browsing ,art browsing,Arts & Crafts (art),Arts & Crafts (art)
388,-,,,None (explicit none match)
389,Painting watching movies,painting watching movies,"Arts & Crafts (painting), Entertainment (movie)","Arts & Crafts (painting), Entertainment (movie)"
390,Drawing painting ,drawing painting,Arts & Crafts (drawing),Arts & Crafts (drawing)
391,Reading,reading,Reading & Writing (read),Reading & Writing (read)
392,Painting Singing listening to music,painting singing listening to music,"Arts & Crafts (painting), Music & Dance (music), Mind & Wellness (listening)","Arts & Crafts (painting), Mind & Wellness (listening), Music & Dance (music)"
393,Dance ,dance,Music & Dance (dance),Music & Dance (dance)
394,Studying people and society ,studying people and society,Education & Study (studying),Education & Study (studying)
395,Playing sports,playing sports,Sports (sport),Sports (sport)
396,Bike Riding   Rap Song  Farming ,bike riding   rap song  farming,"Music & Dance (song), Automotive & Racing (bike)","Automotive & Racing (bike), Music & Dance (song)"
397,Cricket reading books chess,cricket reading books chess,"Sports (chess), Reading & Writing (read)","Reading & Writing (read), Sports (chess)"
398,Painting music listening exploring new things ,painting music listening exploring new things,"Arts & Crafts (painting), Music & Dance (music), Travel & Adventure (exploring), Design (new), Mind & Wellness (listening)","Arts & Crafts (painting), Design (new), Mind & Wellness (listening), Music & Dance (music), Travel & Adventure (exploring)"
399,Writing ,writing,Reading & Writing (writing),Reading & Writing (writing)
400,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
401,I love to dance sometimes ,i love to dance sometimes,Music & Dance (dance),Music & Dance (dance)
402,Dancing singing coding,dancing singing coding,"Music & Dance (singing), Technology & Coding (coding)","Music & Dance (singing), Technology & Coding (coding)"
403,Swimming,swimming,Sports (swim),Sports (swim)
404,Reading books and drawing ,reading books and drawing,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
405,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
406,Travelling Watching Movies ,travelling watching movies,"Travel & Adventure (travel), Entertainment (movie)","Entertainment (movie), Travel & Adventure (travel)"
407,Exercise Running cricket football volleyball Swimming ,exercise running cricket football volleyball swimming,"Sports (cricket), Fitness & Gym (exercise)","Fitness & Gym (exercise), Sports (cricket)"
408,Playing Bandminton ,playing bandminton,Sports (playing fallback),Sports (playing fallback)
409,Driving cars ,driving cars,"Travel & Adventure (driving), Automotive & Racing (car)","Automotive & Racing (car), Travel & Adventure (driving)"
410,Dancing listening music create new things interior designing ,dancing listening music create new things interior designing,"Music & Dance (music), Design (design), Mind & Wellness (listening)","Design (design), Mind & Wellness (listening), Music & Dance (music)"
411,Listening music,listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
412,Playing cricket and swimming ,playing cricket and swimming,Sports (cricket),Sports (cricket)
413,Swimming playing cricket football music etc,swimming playing cricket football music etc,"Sports (cricket), Music & Dance (music)","Music & Dance (music), Sports (cricket)"
414,cooking,cooking,Cooking & Baking (cook),Cooking & Baking (cook)
415,Reading books ,reading books,Reading & Writing (read),Reading & Writing (read)
416,Reading and listening music and I love nature ,reading and listening music and i love nature,"Music & Dance (music), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music), Reading & Writing (read)"
417,ART AND CRAFT,art and craft,Arts & Crafts (craft),Arts & Crafts (craft)
418,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
419,Coding ,coding,Technology & Coding (coding),Technology & Coding (coding)
420,Traveling  Reading  Dancing.,traveling  reading  dancing,"Music & Dance (dancing), Reading & Writing (read), Travel & Adventure (travel)","Music & Dance (dancing), Reading & Writing (read), Travel & Adventure (travel)"
421,My hobbies and interests include dancing drawing painting sketching and sports. I enjoy communicating with people offering advice and helping them solve issues in their lives. I also have a keen interest in cooking and experimenting with new dishes as well as exploring opportunities in communication-related fields,my hobbies and interests include dancing drawing painting sketching and sports  i enjoy communicating with people offering advice and helping them solve issues in their lives  i also have a keen interest in cooking and experimenting with new dishes as well as exploring opportunities in communication related fields,"Sports (sport), Arts & Crafts (drawing), Music & Dance (dancing), Travel & Adventure (exploring), Cooking & Baking (cook), Design (new)","Arts & Crafts (drawing), Cooking & Baking (cook), Design (new), Music & Dance (dancing), Sports (sport), Travel & Adventure (exploring)"
422,Health & music,health   music,Music & Dance (music),Music & Dance (music)
423,Cricket and basketball ,cricket and basketball,Sports (cricket),Sports (cricket)
424,Cricket,cricket,Sports (cricket),Sports (cricket)
425,Listening music ,listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
426,I want to take my family on word toor ,i want to take my family on word toor,"Travel & Adventure (toor), Mind & Wellness (family)","Mind & Wellness (family), Travel & Adventure (toor)"
427,Reading,reading,Reading & Writing (read),Reading & Writing (read)
428,Music dance outdoor games,music dance outdoor games,"Music & Dance (music), Gaming (game)","Gaming (game), Music & Dance (music)"
429,Gaming playing travelling ,gaming playing travelling,"Travel & Adventure (travel), Gaming (gaming)","Gaming (gaming), Travel & Adventure (travel)"
430,Art and Craft,art and craft,Arts & Crafts (craft),Arts & Crafts (craft)
431,I like to write songs and poems and talking to older experienced people ,i like to write songs and poems and talking to older experienced people,"Music & Dance (song), Reading & Writing (poem)","Music & Dance (song), Reading & Writing (poem)"
432,Reading listening to music Badminton watching movies editing sudoku,reading listening to music badminton watching movies editing sudoku,"Sports (badminton), Music & Dance (music), Reading & Writing (read), Entertainment (movie), Mind & Wellness (listening)","Entertainment (movie), Mind & Wellness (listening), Music & Dance (music), Reading & Writing (read), Sports (badminton)"
433,Dance,dance,Music & Dance (dance),Music & Dance (dance)
434,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
435,Sketching ,sketching,Arts & Crafts (sketching),Arts & Crafts (sketching)
436,Dance,dance,Music & Dance (dance),Music & Dance (dance)
437,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
438,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
439,drawing random things,drawing random things,Arts & Crafts (drawing),Arts & Crafts (drawing)
440,Volunteering watching series ,volunteering watching series,"Social & Volunteering (volunteer), Entertainment (watching)","Entertainment (watching), Social & Volunteering (volunteer)"
441,Read books ,read books,Reading & Writing (read),Reading & Writing (read)
442,writing  playing games,writing  playing games,"Reading & Writing (writing), Gaming (game)","Gaming (game), Reading & Writing (writing)"
443,Cricket ,cricket,Sports (cricket),Sports (cricket)
444,I love Sketchingmusictravel ,i love sketchingmusictravel,"Arts & Crafts (sketching), Music & Dance (music), Travel & Adventure (travel)","Arts & Crafts (sketching), Music & Dance (music), Travel & Adventure (travel)"
445,Basketball ,basketball,Sports (basketball),Sports (basketball)
446,Swimming dance travel,swimming dance travel,"Sports (swim), Music & Dance (dance), Travel & Adventure (travel)","Music & Dance (dance), Sports (swim), Travel & Adventure (travel)"
447,chess,chess,Sports (chess),Sports (chess)
448,Reading...,reading,Reading & Writing (read),Reading & Writing (read)
449,Reading program language entrepreneur ,reading program language entrepreneur,"Reading & Writing (read), Education & Study (language)","Education & Study (language), Reading & Writing (read)"
450,Web development and designing ,web development and designing,"Technology & Coding (web development), Design (design)","Design (design), Technology & Coding (web development)"
451,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
452,Dancing listening music ,dancing listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
453,In Gaming ,in gaming,Gaming (gaming),Gaming (gaming)
454,Singing playing guitar etc,singing playing guitar etc,Music & Dance (singing),Music & Dance (singing)
455,Sports Gaming Rides,sports gaming rides,"Sports (sport), Gaming (gaming)","Gaming (gaming), Sports (sport)"
456,Reading Books Playing Cricket Coding ,reading books playing cricket coding,"Sports (cricket), Reading & Writing (read), Technology & Coding (coding)","Reading & Writing (read), Sports (cricket), Technology & Coding (coding)"
457,Books,books,Reading & Writing (book),Reading & Writing (book)
458,Swimming  Chess Travelling Learn new things about networking subject ,swimming  chess travelling learn new things about networking subject,"Sports (chess), Reading & Writing (learn), Travel & Adventure (travel), Social & Volunteering (networking), Design (new)","Design (new), Reading & Writing (learn), Social & Volunteering (networking), Sports (chess), Travel & Adventure (travel)"
459,Solving Cubes,solving cubes,Puzzles (cube),Puzzles (cube)
460,Reading books ,reading books,Reading & Writing (read),Reading & Writing (read)
461,Cooking Learning,cooking learning,"Reading & Writing (learn), Cooking & Baking (cook), Education & Study (learning)","Cooking & Baking (cook), Education & Study (learning), Reading & Writing (learn)"
462,Reading books  travelling ,reading books  travelling,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
463,Dance and book reading ,dance and book reading,"Music & Dance (dance), Reading & Writing (read)","Music & Dance (dance), Reading & Writing (read)"
464,Drawing Reading Books,drawing reading books,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
465,Listening Music ,listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
466,Eager to learn new things,eager to learn new things,"Reading & Writing (learn), Design (new)","Design (new), Reading & Writing (learn)"
467,Coding,coding,Technology & Coding (coding),Technology & Coding (coding)
468,Cricket ,cricket,Sports (cricket),Sports (cricket)
469,travling with friends,travling with friends,,None (no matches)
470,Dance. Read books ,dance  read books,"Music & Dance (dance), Reading & Writing (read)","Music & Dance (dance), Reading & Writing (read)"
471,Comedy,comedy,Entertainment (comedy),Entertainment (comedy)
472,Singing crafting sketching and reading ,singing crafting sketching and reading,"Arts & Crafts (sketching), Music & Dance (singing), Reading & Writing (read)","Arts & Crafts (sketching), Music & Dance (singing), Reading & Writing (read)"
473,Cricket ,cricket,Sports (cricket),Sports (cricket)
474,Playing football and chess  video editing ,playing football and chess  video editing,"Sports (chess), Design (video editing)","Design (video editing), Sports (chess)"
475,Swimming ,swimming,Sports (swim),Sports (swim)
476,Read books play games ,read books play games,"Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read)"
477,Hobbie is to play volleyball and I am a dhol vadak,hobbie is to play volleyball and i am a dhol vadak,Sports (volley),Sports (volley)
478,Dancing  and writing ,dancing  and writing,"Music & Dance (dancing), Reading & Writing (writing)","Music & Dance (dancing), Reading & Writing (writing)"
479,GYMLearning new Skills,gymlearning new skills,"Reading & Writing (learn), Fitness & Gym (gym), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Fitness & Gym (gym), Reading & Writing (learn)"
480,Cooking dancing ,cooking dancing,"Music & Dance (dancing), Cooking & Baking (cook)","Cooking & Baking (cook), Music & Dance (dancing)"
481,Study sport music  reading ,study sport music  reading,"Sports (sport), Music & Dance (music), Reading & Writing (read), Education & Study (study)","Education & Study (study), Music & Dance (music), Reading & Writing (read), Sports (sport)"
482,My hobby is reading books listening songs,my hobby is reading books listening songs,"Music & Dance (song), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (song), Reading & Writing (read)"
483,CricketSinging and Music,cricketsinging and music,"Sports (cricket), Music & Dance (music)","Music & Dance (music), Sports (cricket)"
484,Coding ,coding,Technology & Coding (coding),Technology & Coding (coding)
485,Cricket Music Reading ,cricket music reading,"Sports (cricket), Music & Dance (music), Reading & Writing (read)","Music & Dance (music), Reading & Writing (read), Sports (cricket)"
486,  stay busy Work Reading listening song ,stay busy work reading listening song,"Music & Dance (song), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (song), Reading & Writing (read)"
487,Painting and music ,painting and music,"Arts & Crafts (painting), Music & Dance (music)","Arts & Crafts (painting), Music & Dance (music)"
488,Games Cricket ,games cricket,"Sports (cricket), Gaming (game)","Gaming (game), Sports (cricket)"
489,Playing cricket and football+ coding +reading ,playing cricket and football  coding  reading,"Sports (cricket), Reading & Writing (read), Technology & Coding (coding)","Reading & Writing (read), Sports (cricket), Technology & Coding (coding)"
490,None,none,,None (explicit none match)
491,Cricket and gym ,cricket and gym,"Sports (cricket), Fitness & Gym (gym)","Fitness & Gym (gym), Sports (cricket)"
492,Dancing,dancing,Music & Dance (dancing),Music & Dance (dancing)
493,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
494,Playing  outdoor game's ,playing  outdoor game s,Gaming (game),Gaming (game)
495,Cricket kabaddi ,cricket kabaddi,Sports (cricket),Sports (cricket)
496,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
497,Creativity ,creativity,Arts & Crafts (creativity),Arts & Crafts (creativity)
498,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
499,Doing farm work swimming exercise reading ,doing farm work swimming exercise reading,"Sports (swim), Reading & Writing (read), Technology & Coding (doing), Fitness & Gym (exercise)","Fitness & Gym (exercise), Reading & Writing (read), Sports (swim), Technology & Coding (doing)"
500,Singing ,singing,Music & Dance (singing),Music & Dance (singing)
501,Hobbies playing games intrest cyber security ,hobbies playing games intrest cyber security,"Technology & Coding (cyber), Gaming (game)","Gaming (game), Technology & Coding (cyber)"
502,Listening music  spending time with family and friends,listening music  spending time with family and friends,"Music & Dance (music), Mind & Wellness (family)","Mind & Wellness (family), Music & Dance (music)"
503,Reading books playing games ,reading books playing games,"Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read)"
504,Sports,sports,Sports (sport),Sports (sport)
505,Acting,acting,Arts & Crafts (acting),Arts & Crafts (acting)
506,Conding and Body Building ,conding and body building,Technology & Coding (conding),Technology & Coding (conding)
507,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
508,Playing flute,playing flute,Music & Dance (flute),Music & Dance (flute)
509,Reading books & travelling ,reading books   travelling,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
510,Cricket ,cricket,Sports (cricket),Sports (cricket)
511,Sketching playing outside games dancing,sketching playing outside games dancing,"Arts & Crafts (sketching), Music & Dance (dancing), Gaming (game)","Arts & Crafts (sketching), Gaming (game), Music & Dance (dancing)"
512,Painting and Art . Interest is in art where it always bring out my creative skills.,painting and art   interest is in art where it always bring out my creative skills,Arts & Crafts (painting),Arts & Crafts (painting)
513,Playing and learn something new like any skill or work in any industry .,playing and learn something new like any skill or work in any industry,"Reading & Writing (learn), Design (new)","Design (new), Reading & Writing (learn)"
514,Football and pubg,football and pubg,Sports (football),Sports (football)
515,I like to play Cricket in my free time.,i like to play cricket in my free time,Sports (cricket),Sports (cricket)
516,Listing song try for new things ,listing song try for new things,"Music & Dance (song), Design (new)","Design (new), Music & Dance (song)"
517,Stock Market and trading space  and reading books. ,stock market and trading space  and reading books,"Reading & Writing (read), Business & Finance (stock market)","Business & Finance (stock market), Reading & Writing (read)"
518,Chess cricket online video games,chess cricket online video games,"Sports (chess), Gaming (game)","Gaming (game), Sports (chess)"
519,Reading  chess  art ,reading  chess  art,"Sports (chess), Arts & Crafts (art), Reading & Writing (read)","Arts & Crafts (art), Reading & Writing (read), Sports (chess)"
520,Drawings and trekking and travelling ,drawings and trekking and travelling,"Arts & Crafts (drawing), Travel & Adventure (travel)","Arts & Crafts (drawing), Travel & Adventure (travel)"
521,Travelling Dancing,travelling dancing,"Music & Dance (dancing), Travel & Adventure (travel)","Music & Dance (dancing), Travel & Adventure (travel)"
522,Doing something special for my parents ,doing something special for my parents,"Technology & Coding (doing), Mind & Wellness (parents)","Mind & Wellness (parents), Technology & Coding (doing)"
523,Singing and Reading,singing and reading,"Music & Dance (singing), Reading & Writing (read)","Music & Dance (singing), Reading & Writing (read)"
524,Dancing watching movies ,dancing watching movies,"Music & Dance (dancing), Entertainment (movie)","Entertainment (movie), Music & Dance (dancing)"
525,Driving and traveling ,driving and traveling,Travel & Adventure (travel),Travel & Adventure (travel)
526,Cricket ,cricket,Sports (cricket),Sports (cricket)
527,Music ,music,Music & Dance (music),Music & Dance (music)
528,Hobby is singing and reading books,hobby is singing and reading books,"Music & Dance (singing), Reading & Writing (read)","Music & Dance (singing), Reading & Writing (read)"
529,Playing Chess and Cricket ,playing chess and cricket,Sports (chess),Sports (chess)
530,Cricket Gaming Coding ,cricket gaming coding,"Sports (cricket), Technology & Coding (coding), Gaming (gaming)","Gaming (gaming), Sports (cricket), Technology & Coding (coding)"
531,Swimming,swimming,Sports (swim),Sports (swim)
532,Swimming ,swimming,Sports (swim),Sports (swim)
533,Playing sports,playing sports,Sports (sport),Sports (sport)
534,Drawingplaying long tennis cycling,drawingplaying long tennis cycling,"Sports (tennis), Arts & Crafts (drawing)","Arts & Crafts (drawing), Sports (tennis)"
535,Games ,games,Gaming (game),Gaming (game)
536,Driving research & teaching ,driving research   teaching,"Travel & Adventure (driving), Education & Study (teaching)","Education & Study (teaching), Travel & Adventure (driving)"
537,Basketball football ,basketball football,Sports (football),Sports (football)
538,Gym for healthy physic ,gym for healthy physic,Fitness & Gym (gym),Fitness & Gym (gym)
539,Travel ,travel,Travel & Adventure (travel),Travel & Adventure (travel)
540,Exploring new things ,exploring new things,"Travel & Adventure (exploring), Design (new)","Design (new), Travel & Adventure (exploring)"
541,Designingart dancing ,designingart dancing,"Arts & Crafts (art), Music & Dance (dancing), Design (design)","Arts & Crafts (art), Design (design), Music & Dance (dancing)"
542,Sports,sports,Sports (sport),Sports (sport)
543,Can play each and every sports.. An athleteâ€¦ good leadership qualityâ€¦ volleyball district player.. ,can play each and every sports   an athleteâ   good leadership qualityâ   volleyball district player,Sports (sport),Sports (sport)
544,Football,football,Sports (football),Sports (football)
545,Sports ,sports,Sports (sport),Sports (sport)
546,Travel ,travel,Travel & Adventure (travel),Travel & Adventure (travel)
547,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
548,Playing cricket reading novels ,playing cricket reading novels,"Sports (cricket), Reading & Writing (read)","Reading & Writing (read), Sports (cricket)"
549,Building circuits playing football basketball ,building circuits playing football basketball,Sports (football),Sports (football)
550,Cricket  Badminton  Gym,cricket  badminton  gym,"Sports (cricket), Fitness & Gym (gym)","Fitness & Gym (gym), Sports (cricket)"
551,Gymnasium ,gymnasium,Fitness & Gym (gym),Fitness & Gym (gym)
552,Travellingdancingcookinginteracting new peopleexploring new thingslearning everything which is difficultshopping,travellingdancingcookinginteracting new peopleexploring new thingslearning everything which is difficultshopping,"Arts & Crafts (acting), Music & Dance (dancing), Reading & Writing (learn), Travel & Adventure (travel), Cooking & Baking (cook), Design (new), Education & Study (learning)","Arts & Crafts (acting), Cooking & Baking (cook), Design (new), Education & Study (learning), Music & Dance (dancing), Reading & Writing (learn), Travel & Adventure (travel)"
553,Designing ,designing,Design (design),Design (design)
554,Playing sports ,playing sports,Sports (sport),Sports (sport)
555,Watching movies Gardening. ,watching movies gardening,"Entertainment (movie), Gardening (gardening)","Entertainment (movie), Gardening (gardening)"
556,I like to play cricket ,i like to play cricket,Sports (cricket),Sports (cricket)
557,Learning new skills ,learning new skills,"Reading & Writing (learn), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (learn)"
558,Dancing and singing ,dancing and singing,Music & Dance (singing),Music & Dance (singing)
559,Football and chess,football and chess,Sports (chess),Sports (chess)
560,Reading Books and Drawing or Painting ,reading books and drawing or painting,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
561,Playing outdoor games & love to watch sports competitions,playing outdoor games   love to watch sports competitions,"Sports (sport), Gaming (game), Entertainment (watch)","Entertainment (watch), Gaming (game), Sports (sport)"
562,Reading bookstrecking ,reading bookstrecking,Reading & Writing (read),Reading & Writing (read)
563,Problem Solving,problem solving,Puzzles (problem solving),Puzzles (problem solving)
564,Many ,many,,None (no matches)
565,Cricket  travel ,cricket  travel,"Sports (cricket), Travel & Adventure (travel)","Sports (cricket), Travel & Adventure (travel)"
566,Playing cricket  web developement and personality development ,playing cricket  web developement and personality development,Sports (cricket),Sports (cricket)
567,Singing  experiencing new work  reading ,singing  experiencing new work  reading,"Music & Dance (singing), Reading & Writing (read), Design (new)","Design (new), Music & Dance (singing), Reading & Writing (read)"
