OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
957,Ny hobby is reading listening songs cleanliness ,ny hobby is reading listening songs cleanliness,"Music & Dance (song), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (song), Reading & Writing (read)"
958,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
959,Running,running,Fitness & Gym (running),Fitness & Gym (running)
960,Some special do for family ,some special do for family,Mind & Wellness (family),Mind & Wellness (family)
961,Swimming,swimming,Sports (swim),Sports (swim)
962,LISTENING MUSIC,listening music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
963,Sport,sport,Sports (sport),Sports (sport)
964,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
965,Yes,yes,,None (no matches)
966,Dancing listening music create new things ,dancing listening music create new things,"Music & Dance (music), Design (new), Mind & Wellness (listening)","Design (new), Mind & Wellness (listening), Music & Dance (music)"
967,Reading books Listening music,reading books listening music,"Music & Dance (music), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music), Reading & Writing (read)"
968,Gaming ,gaming,Gaming (gaming),Gaming (gaming)
969,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
970,I'm athlete,i m athlete,Sports (athlete),Sports (athlete)
971,Traveling   cooking ,traveling   cooking,"Travel & Adventure (travel), Cooking & Baking (cook)","Cooking & Baking (cook), Travel & Adventure (travel)"
972,Traveling and playing cricket,traveling and playing cricket,"Sports (cricket), Travel & Adventure (travel)","Sports (cricket), Travel & Adventure (travel)"
973,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
974,Painting listining music ,painting listining music,"Arts & Crafts (painting), Music & Dance (music)","Arts & Crafts (painting), Music & Dance (music)"
975,Spending time with pets  colouring trying something new .,spending time with pets  colouring trying something new,"Arts & Crafts (colouring), Design (new)","Arts & Crafts (colouring), Design (new)"
976,Like to learn more languages ,like to learn more languages,"Reading & Writing (learn), Education & Study (language)","Education & Study (language), Reading & Writing (learn)"
977,Dancing and sports ,dancing and sports,"Sports (sport), Music & Dance (dancing)","Music & Dance (dancing), Sports (sport)"
978,Learning ,learning,"Reading & Writing (learn), Education & Study (learning)","Education & Study (learning), Reading & Writing (learn)"
979,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
980,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
981,Reading and listening online story ,reading and listening online story,"Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Reading & Writing (read)"
982,Not exactly a specific hobby ,not exactly a specific hobby,,None (no matches)
983,Learning management skills & organizing events,learning management skills   organizing events,"Reading & Writing (learn), Social & Volunteering (event), Education & Study (learning)","Education & Study (learning), Reading & Writing (learn), Social & Volunteering (event)"
984,Playing volleyball ,playing volleyball,Sports (volley),Sports (volley)
985,Fitness and Driving,fitness and driving,"Travel & Adventure (driving), Fitness & Gym (fitness)","Fitness & Gym (fitness), Travel & Adventure (driving)"
986,Travelling ,travelling,Travel & Adventure (travel),Travel & Adventure (travel)
987,Book reading and Crafting,book reading and crafting,"Arts & Crafts (craft), Reading & Writing (read)","Arts & Crafts (craft), Reading & Writing (read)"
988,I love playing chess,i love playing chess,Sports (chess),Sports (chess)
989,Like to travel and making creative things ,like to travel and making creative things,Travel & Adventure (travel),Travel & Adventure (travel)
990,Reading learning new thingssite work playing kabbadi,reading learning new thingssite work playing kabbadi,"Sports (kabbadi), Reading & Writing (read), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (read), Sports (kabbadi)"
991,New Innovative Entrepreneurship Research ,new innovative entrepreneurship research,"Design (new), Business & Finance (entrepreneurship), Education & Study (research)","Business & Finance (entrepreneurship), Design (new), Education & Study (research)"
992,Data Analytics ,data analytics,Education & Study (data analytics),Education & Study (data analytics)
993,Sports ,sports,Sports (sport),Sports (sport)
994,Travelling & Playing Games ,travelling   playing games,"Travel & Adventure (travel), Gaming (game)","Gaming (game), Travel & Adventure (travel)"
995,Swimming chess travelling ,swimming chess travelling,"Sports (chess), Travel & Adventure (travel)","Sports (chess), Travel & Adventure (travel)"
996,Listening,listening,Mind & Wellness (listening),Mind & Wellness (listening)
997,Drawing painting ,drawing painting,Arts & Crafts (drawing),Arts & Crafts (drawing)
998,Design field ,design field,Design (design),Design (design)
999,Paintings  designing and organizing home  interest in trying new things,paintings  designing and organizing home  interest in trying new things,"Arts & Crafts (painting), Design (design)","Arts & Crafts (painting), Design (design)"
1000,Sketching painting reading learning new skills makes mi excited ,sketching painting reading learning new skills makes mi excited,"Arts & Crafts (painting), Reading & Writing (read), Design (new), Education & Study (learning)","Arts & Crafts (painting), Design (new), Education & Study (learning), Reading & Writing (read)"
1001,Reading carrier oriented Books and businessmen biography ,reading carrier oriented books and businessmen biography,"Reading & Writing (read), Business & Finance (business), Automotive & Racing (car)","Automotive & Racing (car), Business & Finance (business), Reading & Writing (read)"
1002,Painting dancing ,painting dancing,"Arts & Crafts (painting), Music & Dance (dancing)","Arts & Crafts (painting), Music & Dance (dancing)"
